Payment ID,Date of Payment,Amount Paid,Payment Method,Payment Status,Policy ID
PAY00503494,16-02-2024,1121.13,Cash,Successful,POL09901587
PAY14700139,31-07-2023,490.76,Cash,Successful,POL71278302
PAY44865582,25-01-2024,452.98,Cash,Successful,POL06989593
PAY87905940,19-11-2024,1423.5,Cash,Successful,POL99941160
PAY95814567,02-04-2023,1263.27,Cash,Successful,POL67043142
PAY02564038,03-08-2024,842.11,Cash,Successful,POL39337647
PAY61476184,21-05-2024,366.41,Cash,Successful,POL83352802
PAY19766369,23-04-2024,1351.89,Cash,Successful,POL79918238
PAY79066960,27-03-2023,300,Cash,Successful,POL98385553
PAY58408652,22-08-2024,352.94,Cash,Successful,POL88017939
PAY96226115,08-05-2023,164.93,Cash,Successful,POL13070623
PAY76124418,13-09-2022,1376.39,Cash,Successful,POL96583337
PAY87852335,04-11-2022,221.67,Cash,Successful,POL67510645
PAY26127195,28-03-2023,355.41,Cash,Successful,POL18608877
PAY56228408,17-01-2023,1012.14,Cash,Successful,POL34306249
PAY11164056,25-02-2022,970.43,Cash,Successful,POL09886051
PAY89311147,20-09-2023,1043.18,Cash,Successful,POL11682509
PAY38564214,10-07-2024,1314.08,Cash,Successful,POL69691492
PAY71439803,30-08-2023,360.59,Cash,Successful,POL92865559
PAY58092382,13-07-2022,933.54,Cash,Successful,POL13704102
PAY30707673,03-10-2023,515.16,Cash,Successful,POL85450794
PAY87806837,22-08-2023,62.25,Cash,Successful,POL41657581
PAY48314485,23-10-2023,951.85,Cash,Successful,POL94568655
PAY39368200,24-08-2024,1127.03,Cash,Successful,POL69146247
PAY13105314,22-06-2023,404.06,Cash,Successful,POL74477795
PAY42094573,22-05-2024,902.76,Cash,Successful,POL58855449
PAY36605213,22-12-2022,215.78,Cash,Successful,POL70698520
PAY32731847,04-03-2024,870.66,Cash,Successful,POL86234151
PAY83773684,06-11-2022,1068.51,Cash,Successful,POL14385172
PAY16211133,25-04-2023,1445.57,Cash,Successful,POL83650350
PAY83300750,18-07-2024,1077.02,Cash,Successful,POL09884871
PAY90259742,24-08-2024,55.44,Cash,Successful,POL19823419
PAY16906069,02-12-2023,1460.45,Cash,Successful,POL35891090
PAY01366714,23-12-2021,973.22,Cash,Successful,POL13181341
PAY13035822,12-12-2024,1335.23,Cash,Successful,POL31194577
PAY24120373,20-11-2023,1251.77,Cash,Successful,POL17436318
PAY71855954,12-07-2024,807.22,Cash,Successful,POL79051924
PAY32301407,16-07-2024,1479.54,Cash,Successful,POL35077867
PAY58994098,17-11-2022,1213.24,Cash,Successful,POL96802208
PAY93349893,15-04-2022,184.31,Cash,Successful,POL68879274
PAY57535748,31-07-2023,378.06,Cash,Successful,POL16254654
PAY70944236,30-08-2023,677.83,Cash,Successful,POL99602250
PAY76035874,23-03-2024,864.16,Cash,Successful,POL87600552
PAY37041680,27-09-2022,1406.35,Cash,Successful,POL64386769
PAY47679388,01-01-2023,70.35,Cash,Successful,POL25507617
PAY32221134,11-11-2023,312.65,Cash,Successful,POL24466673
PAY20944059,16-03-2023,66.55,Cash,Successful,POL17801092
PAY45673239,24-09-2022,217.73,Cash,Successful,POL34042376
PAY44759955,03-04-2023,1039.25,Cash,Successful,POL48112744
PAY57434460,05-05-2024,310.58,Cash,Successful,POL39701482
PAY37479545,27-07-2022,737.35,Cash,Successful,POL98348434
PAY29441732,05-01-2024,821.32,Cash,Successful,POL79310767
